HGNC symbol	Ensembl Gene ID
	ENSG00000197468
OR52B5P	ENSG00000231049
	ENSG00000276385
	ENSG00000275151
UBD	ENSG00000228913
HS1BP3-IT1	ENSG00000231948
	ENSG00000280296
	ENSG00000231510
KIR2DL3	ENSG00000275008
	ENSG00000229336
	ENSG00000261641
HNRNPA1P2	ENSG00000237295
MIR3622A	ENSG00000279302
MIR3622B	ENSG00000279302
DEFB124	ENSG00000180383
OR51AB1P	ENSG00000229093
KIR2DS3	ENSG00000277657
	ENSG00000270100
LILRP1	ENSG00000277894
	ENSG00000272894
	ENSG00000244471
RBP7	ENSG00000162444
OR52H2P	ENSG00000248553
SSX5	ENSG00000165583
HLA-P	ENSG00000260538
DCTN6	ENSG00000104671
SNTA1	ENSG00000101400
NEU1	ENSG00000228691
NUDT11	ENSG00000196368
MCCD1P1	ENSG00000230357
OR51Q1	ENSG00000167360
	ENSG00000224292
FANCB	ENSG00000181544
OR4F1P	ENSG00000220212
	ENSG00000240898
IPO7	ENSG00000205339
	ENSG00000226323
	ENSG00000274882
HLA-K	ENSG00000232708
CNOT7	ENSG00000198791
EEF1A1P26	ENSG00000233167
	ENSG00000236039
P2RX5-TAX1BP3	ENSG00000257950
	ENSG00000226598
LINC01423	ENSG00000231231
	ENSG00000236318
MRPL51P2	ENSG00000232777
	ENSG00000255977
	ENSG00000279969
	ENSG00000225527
MED14	ENSG00000180182
NIFKP1	ENSG00000214434
KIR3DL1	ENSG00000274920
	ENSG00000261451
LILRP2	ENSG00000274788
KIF3B	ENSG00000101350
HCCS	ENSG00000004961
	ENSG00000268955
	ENSG00000259279
	ENSG00000270171
	ENSG00000229826
	ENSG00000258970
LINC01444	ENSG00000264301
KIR3DL3	ENSG00000274394
	ENSG00000235679
KRTAP25-1	ENSG00000232263
LINC00561	ENSG00000261206
	ENSG00000258786
EMILIN2	ENSG00000132205
MTCO1P5	ENSG00000233026
ART5	ENSG00000167311
MAGEB3	ENSG00000198798
CPNE9	ENSG00000144550
	ENSG00000233358
	ENSG00000227138
PRNP	ENSG00000171867
ARSE	ENSG00000157399
