motifName	geneSymbol	pioneerScore
MA0003.1 TFAP2A	TFAP2A	7.287
MA0004.1 Arnt	ARNT	1.646
MA0014.1 Pax5	PAX5	2.7
MA0018.1 CREB1	CREB1	3.687
MA0018.2 CREB1	CREB1	4.36
MA0024.1 E2F1	E2F1	3.647
MA0025.1 NFIL3	NFIL3	-0.683
MA0028.1 ELK1	ELK1	3.736
MA0030.1 FOXF2	FOXF2	-0.48
MA0033.1 FOXL1	FOXL1	-1.011
MA0035.1 Gata1	GATA1	0.936
MA0039.2 Klf4	KLF4	1.984
MA0040.1 Foxq1	FOXQ1	-0.954
MA0042.1 FOXI1	FOXI1	-1.525
MA0046.1 HNF1A	HNF1A	-0.675
MA0047.1 Foxa2	FOXA2	-0.94
MA0048.1 NHLH1	NHLH1	4.335
MA0052.1 MEF2A	MEF2A	-0.686
MA0056.1 MZF1_1-4	MZF1	1.132
MA0057.1 MZF1_5-13	MZF1	1.507
MA0058.1 MAX	MAX	1.343
MA0060.1 NFYA	NFYA	4.877
MA0062.2 GABPA	GABPA	8.114
MA0063.1 Nkx2-5	NKX2-5	-0.538
MA0067.1 Pax2	PAX2	1.999
MA0070.1 PBX1	PBX1	-0.387
MA0073.1 RREB1	RREB1	0.803
MA0075.1 Prrx2	PRRX2	-0.637
MA0076.1 ELK4	ELK4	4.282
MA0077.1 SOX9	SOX9	-0.19
MA0079.1 SP1	SP1	3.739
MA0079.2 SP1	SP1	6.136
MA0080.1 SPI1	SPI1	3.207
MA0080.2 SPI1	SPI1	0.626
MA0084.1 SRY	SRY	-0.673
MA0087.1 Sox5	SOX5	-0.528
MA0088.1 znf143	ZNF143	1.475
MA0090.1 TEAD1	TEAD1	0.729
MA0093.1 USF1	USF1	1.915
MA0095.1 YY1	YY1	0.818
MA0098.1 ETS1	ETS1	2.908
MA0099.1 Fos	FOS	0.863
MA0100.1 Myb	MYB	1.74
MA0101.1 REL	REL	0.865
MA0103.1 ZEB1	ZEB1	1.132
MA0105.1 NFKB1	NFKB1	1.594
MA0112.1 ESR1	ESR1	1.081
MA0112.2 ESR1	ESR1	0.878
MA0117.1 Mafb	MAFB	3.431
